City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-10-26 19:04:41,-9.8,-139.0333,77.25,67,6,15.57
1,Bahawalpur,PK,2021-10-26 19:00:15,29.4,71.6833,75.09,32,1,7.38
2,Albany,US,2021-10-26 19:00:24,42.6001,-73.9662,56.23,94,100,1.01
3,Sosva,RU,2021-10-26 19:04:41,59.1766,61.8558,24.55,85,74,3.89
4,Vao,NC,2021-10-26 19:04:41,-22.6667,167.4833,71.87,85,100,14.03
5,Rio Grande,BR,2021-10-26 19:04:42,-32.035,-52.0986,87.91,58,0,7.2
6,Atar,MR,2021-10-26 19:04:42,20.5169,-13.0499,90.09,24,21,10.36
7,Port Alfred,ZA,2021-10-26 19:04:42,-33.5906,26.891,66.51,83,79,29.57
8,Punta Arenas,CL,2021-10-26 19:04:43,-53.15,-70.9167,51.91,58,0,39.12
9,Jamestown,US,2021-10-26 19:03:52,42.097,-79.2353,44.19,99,90,8.99
10,Provideniya,RU,2021-10-26 19:04:43,64.3833,-173.3,15.26,83,99,5.46
11,Hovd,MN,2021-10-26 19:04:43,48.0056,91.6419,35.55,42,0,3.33
12,Belaya Gora,RU,2021-10-26 19:04:43,68.5333,146.4167,-9.24,100,60,2.26
13,Mar Del Plata,AR,2021-10-26 19:01:44,-38.0023,-57.5575,73.17,48,0,8.23
14,Rikitea,PF,2021-10-26 19:04:44,-23.1203,-134.9692,74.71,80,100,19.33
15,Avarua,CK,2021-10-26 19:04:44,-21.2078,-159.775,75.25,69,96,12.66
16,Ratnagiri,IN,2021-10-26 19:04:45,16.9833,73.3,76.33,79,3,6.82
17,Virginia Beach,US,2021-10-26 19:03:28,36.8529,-75.978,71.02,63,36,3.0
18,Tasiilaq,GL,2021-10-26 19:02:19,65.6145,-37.6368,33.48,83,100,4.07
19,Kinkala,CG,2021-10-26 19:04:45,-4.3614,14.7644,76.78,77,100,3.67
20,Cape Town,ZA,2021-10-26 19:00:56,-33.9258,18.4232,71.28,59,100,4.0
21,Ponta Do Sol,PT,2021-10-26 19:04:46,32.6667,-17.1,70.72,67,9,3.96
22,Tessalit,ML,2021-10-26 19:04:46,20.1986,1.0114,88.18,15,17,8.08
23,Kloulklubed,PW,2021-10-26 19:04:46,7.0419,134.2556,83.64,69,13,7.47
24,Razdolnoye,RU,2021-10-26 19:04:46,43.55,131.9167,46.81,93,100,4.76
25,Belyy Yar,RU,2021-10-26 19:04:47,53.6039,91.3903,31.89,93,0,4.47
26,Bathsheba,BB,2021-10-26 19:01:09,13.2167,-59.5167,83.05,67,35,16.2
27,Santana Do Livramento,BR,2021-10-26 19:04:00,-30.8908,-55.5328,83.16,45,0,5.12
28,Shimoda,JP,2021-10-26 19:04:47,34.6667,138.95,61.11,78,94,2.84
29,Bluff,NZ,2021-10-26 19:04:47,-46.6,168.3333,51.87,92,100,1.1
30,Baisha,CN,2021-10-26 19:04:48,26.5222,110.9311,58.5,97,100,1.74
31,Lewistown,US,2021-10-26 19:01:34,40.5992,-77.5714,53.89,87,90,8.05
32,Qaanaaq,GL,2021-10-26 19:04:48,77.484,-69.3632,17.46,94,100,14.65
33,Kapaa,US,2021-10-26 19:04:48,22.0752,-159.319,80.58,78,1,1.99
34,Palimbang,PH,2021-10-26 19:04:49,6.2106,124.1894,78.37,86,94,3.6
35,Codrington,AU,2021-10-26 19:03:15,-38.2667,141.9667,48.16,55,0,7.85
36,Koppang,NO,2021-10-26 19:04:49,61.5706,11.0555,36.16,90,80,1.43
37,Berlevag,NO,2021-10-26 19:04:49,70.8578,29.0864,33.75,64,75,32.21
38,Port Moresby,PG,2021-10-26 19:04:50,-9.4431,147.1797,75.74,91,65,4.88
39,Yellowknife,CA,2021-10-26 19:04:50,62.456,-114.3525,37.42,100,90,4.61
40,New Norfolk,AU,2021-10-26 19:04:50,-42.7826,147.0587,43.75,79,11,2.39
41,Hermanus,ZA,2021-10-26 19:04:51,-34.4187,19.2345,65.8,83,100,17.02
42,Victoria,HK,2021-10-26 19:04:16,22.2855,114.1577,78.33,86,100,1.01
43,Pathein,MM,2021-10-26 19:04:51,16.7833,94.7333,75.07,92,51,0.81
44,Cidreira,BR,2021-10-26 19:04:51,-30.1811,-50.2056,76.35,54,0,9.35
45,Dunedin,NZ,2021-10-26 18:59:57,-45.8742,170.5036,53.42,97,100,4.88
46,Cabo San Lucas,MX,2021-10-26 19:04:52,22.8909,-109.9124,89.62,53,5,11.01
47,Busselton,AU,2021-10-26 19:01:42,-33.65,115.3333,48.04,92,100,10.31
48,East London,ZA,2021-10-26 19:01:51,-33.0153,27.9116,67.03,81,92,21.16
49,Praia Da Vitoria,PT,2021-10-26 19:04:52,38.7333,-27.0667,71.76,93,98,22.77
50,Faya,SA,2021-10-26 19:04:52,18.3851,42.4509,61.32,62,4,1.81
51,Airai,TL,2021-10-26 19:04:53,-8.9266,125.4092,62.29,84,46,0.78
52,Lompoc,US,2021-10-26 19:04:53,34.6391,-120.4579,70.7,51,1,12.66
53,Barrow,US,2021-10-26 19:04:53,71.2906,-156.7887,24.82,86,90,5.75
54,Khatanga,RU,2021-10-26 19:04:53,71.9667,102.5,0.93,99,100,2.59
55,Kawalu,ID,2021-10-26 19:04:54,-7.3817,108.2082,72.64,97,100,1.34
56,Talnakh,RU,2021-10-26 19:04:54,69.4865,88.3972,14.76,95,100,5.73
57,Katsuura,JP,2021-10-26 19:04:54,35.1333,140.3,60.91,72,100,6.38
58,Mataura,NZ,2021-10-26 19:04:55,-46.1927,168.8643,51.71,99,97,0.11
59,Inhambane,MZ,2021-10-26 19:04:55,-23.865,35.3833,73.38,83,0,3.44
60,Rio Gallegos,AR,2021-10-26 19:04:55,-51.6226,-69.2181,59.05,25,40,43.73
61,Portland,US,2021-10-26 19:00:55,45.5234,-122.6762,57.61,83,90,4.0
62,Abu Dhabi,AE,2021-10-26 19:04:56,24.4667,54.3667,84.31,51,0,8.05
63,Plettenberg Bay,ZA,2021-10-26 19:04:56,-34.0527,23.3716,63.84,89,87,16.37
64,Kurumkan,RU,2021-10-26 19:04:56,54.3,110.3,31.87,83,19,4.07
65,Kaitangata,NZ,2021-10-26 19:01:41,-46.2817,169.8464,51.46,97,100,3.0
66,Chokurdakh,RU,2021-10-26 19:04:57,70.6333,147.9167,-15.18,100,87,4.18
67,Mahebourg,MU,2021-10-26 19:01:07,-20.4081,57.7,74.25,74,12,15.73
68,Bandarbeyla,SO,2021-10-26 19:04:57,9.4942,50.8122,78.33,79,4,7.56
69,Arraial Do Cabo,BR,2021-10-26 19:03:30,-22.9661,-42.0278,75.06,88,75,10.36
70,Hobart,AU,2021-10-26 19:00:02,-42.8794,147.3294,43.27,91,2,4.0
71,Rocha,UY,2021-10-26 19:00:27,-34.4833,-54.3333,83.61,50,0,9.82
72,Sitka,US,2021-10-26 19:04:58,57.0531,-135.33,46.29,76,75,4.61
73,Tiksi,RU,2021-10-26 19:04:58,71.6872,128.8694,13.87,95,100,2.86
74,Vila Franca Do Campo,PT,2021-10-26 19:04:58,37.7167,-25.4333,72.01,84,28,11.25
75,Dali,CN,2021-10-26 19:04:59,25.7,100.1833,52.39,91,3,4.09
76,Khasan,RU,2021-10-26 19:04:59,42.4308,130.6434,53.4,65,100,16.31
77,Coahuayana,MX,2021-10-26 19:04:59,18.7333,-103.6833,87.57,62,100,5.03
78,Georgetown,MY,2021-10-26 19:04:59,5.4112,100.3354,78.89,92,40,5.75
79,Ushuaia,AR,2021-10-26 19:01:36,-54.8,-68.3,48.88,59,66,7.36
80,Kodiak,US,2021-10-26 19:05:00,57.79,-152.4072,39.27,77,100,10.65
81,Izhma,RU,2021-10-26 19:05:00,65.0083,53.9113,17.13,97,48,2.64
82,Sao Filipe,CV,2021-10-26 19:05:01,14.8961,-24.4956,79.92,73,61,10.69
83,Ngunguru,NZ,2021-10-26 19:05:02,-35.6167,174.5,63.16,90,100,4.99
84,Whitehorse,CA,2021-10-26 19:00:23,60.7161,-135.0538,29.1,92,100,3.0
85,Varkaus,FI,2021-10-26 19:05:02,62.3153,27.873,46.51,94,100,9.19
86,Carnarvon,AU,2021-10-26 19:05:03,-24.8667,113.6333,66.27,52,90,8.05
87,Meadow Lake,US,2021-10-26 19:00:23,34.8014,-106.5436,67.84,23,92,28.48
88,Omboue,GA,2021-10-26 19:05:04,-1.5746,9.2618,76.8,88,64,8.63
89,Vaini,TO,2021-10-26 19:05:04,-21.2,-175.2,73.56,83,40,10.36
90,Majholi,IN,2021-10-26 19:05:05,23.5,79.9167,69.57,58,33,4.32
91,Bayamo,CU,2021-10-26 19:05:06,20.3792,-76.6433,91.92,50,100,2.53
92,Sao Lourenco Da Serra,BR,2021-10-26 19:05:07,-23.8525,-46.9425,76.96,81,100,7.02
93,Bilma,NE,2021-10-26 19:05:07,18.6853,12.9164,86.18,12,0,7.49
94,Morros,BR,2021-10-26 19:04:40,-9.4467,-46.3003,97.84,23,83,10.07
95,Chapais,CA,2021-10-26 19:04:20,49.7834,-74.8492,45.07,49,100,8.48
96,Hithadhoo,MV,2021-10-26 19:05:08,-0.6,73.0833,83.48,72,100,17.87
97,Valparaiso,CL,2021-10-26 19:00:21,-33.0393,-71.6273,62.47,68,56,8.66
98,Najran,SA,2021-10-26 19:05:08,17.4924,44.1277,66.92,14,4,0.69
99,Bettendorf,US,2021-10-26 19:02:07,41.5245,-90.5157,59.2,58,1,5.99
100,Hilo,US,2021-10-26 19:01:47,19.7297,-155.09,81.25,72,62,4.0
101,Ribeira Grande,PT,2021-10-26 19:05:09,38.5167,-28.7,72.0,88,75,17.27
102,Alofi,NU,2021-10-26 19:05:09,-19.0595,-169.9187,76.89,78,75,13.8
103,Chuy,UY,2021-10-26 19:05:10,-33.6971,-53.4616,82.04,46,0,9.4
104,Buala,SB,2021-10-26 19:04:23,-8.145,159.5921,79.74,80,100,4.76
105,Caravelas,BR,2021-10-26 19:05:10,-17.7125,-39.2481,80.28,68,10,8.03
106,Duluth,US,2021-10-26 19:01:30,46.7833,-92.1066,50.56,65,1,5.99
107,Nago,JP,2021-10-26 19:05:10,26.5881,127.9761,68.07,66,45,7.14
108,Pathalgaon,IN,2021-10-26 19:05:11,22.5667,83.4667,64.15,68,0,4.5
109,Molfetta,IT,2021-10-26 19:05:11,41.2002,16.5975,62.67,76,94,3.44
110,Pisco,PE,2021-10-26 19:02:15,-13.7,-76.2167,66.02,81,77,8.55
111,Fomboni,KM,2021-10-26 19:05:11,-12.28,43.7425,79.18,80,15,6.87
112,Marsh Harbour,BS,2021-10-26 19:05:12,26.5412,-77.0636,82.44,75,15,16.33
113,La Asuncion,VE,2021-10-26 19:05:12,11.0333,-63.8628,82.35,73,100,16.71
114,Rovaniemi,FI,2021-10-26 19:05:12,66.5,25.7167,31.41,100,90,8.05
115,Te Anau,NZ,2021-10-26 19:05:13,-45.4167,167.7167,50.74,94,100,0.83
116,Churapcha,RU,2021-10-26 19:05:13,62.0025,132.4325,29.34,98,100,3.33
117,Erenhot,CN,2021-10-26 19:05:13,43.6475,111.9767,40.84,41,0,8.61
118,Casper,US,2021-10-26 19:02:06,42.8666,-106.3131,42.01,91,90,8.01
119,Tazovskiy,RU,2021-10-26 19:05:14,67.4667,78.7,20.86,96,100,7.61
120,Huilong,CN,2021-10-26 19:05:14,31.8111,121.655,64.04,73,26,4.54
121,Deputatskiy,RU,2021-10-26 19:02:31,69.3,139.9,-2.02,96,99,1.63
122,Peniche,PT,2021-10-26 19:05:14,39.3558,-9.3811,69.28,73,4,11.65
123,Reconquista,AR,2021-10-26 19:05:15,-29.15,-59.65,94.42,15,0,11.5
124,Ancud,CL,2021-10-26 19:05:15,-41.8697,-73.8203,57.42,85,100,10.65
125,Grand Gaube,MU,2021-10-26 19:03:06,-20.0064,57.6608,74.37,70,1,5.99
126,Durban,ZA,2021-10-26 19:04:26,-29.8579,31.0292,67.01,90,100,3.0
127,Anadyr,RU,2021-10-26 19:05:15,64.75,177.4833,-4.0,83,96,5.99
128,Ghanzi,BW,2021-10-26 19:05:16,-21.5667,21.7833,78.4,39,21,9.06
129,Sola,VU,2021-10-26 19:05:16,-13.8833,167.55,80.55,77,100,5.41
130,Bethel,US,2021-10-26 19:05:16,41.3712,-73.414,61.93,93,100,5.01
131,Narsaq,GL,2021-10-26 19:05:17,60.9167,-46.05,39.42,61,1,6.02
132,Viedma,AR,2021-10-26 19:05:17,-40.8135,-62.9967,88.95,10,0,17.4
133,Abu Samrah,SY,2021-10-26 19:05:17,35.3029,37.1841,67.14,36,19,3.96
134,Curuguaty,PY,2021-10-26 19:05:17,-24.4694,-55.6945,87.71,39,19,2.89
135,Chicama,PE,2021-10-26 19:05:18,-7.8447,-79.1469,63.14,57,86,10.45
136,Bredasdorp,ZA,2021-10-26 19:01:45,-34.5322,20.0403,65.28,83,100,19.06
137,Venice,US,2021-10-26 19:05:18,27.0998,-82.4543,88.07,76,2,4.0
138,Torbay,CA,2021-10-26 19:05:18,47.6666,-52.7314,44.58,75,21,3.0
139,Port Macquarie,AU,2021-10-26 19:05:19,-31.4333,152.9167,57.88,100,40,0.0
140,Pilani,IN,2021-10-26 19:05:19,28.3684,75.6041,71.28,40,0,0.11
141,Carutapera,BR,2021-10-26 19:03:32,-1.195,-46.02,86.02,66,26,11.45
142,Puerto Ayora,EC,2021-10-26 19:05:19,-0.7393,-90.3518,76.96,77,78,11.43
143,Kysyl-Syr,RU,2021-10-26 19:05:20,63.8986,122.7617,30.94,97,100,8.21
144,Coquimbo,CL,2021-10-26 19:05:20,-29.9533,-71.3436,62.33,72,75,12.66
145,Kirovskiy,RU,2021-10-26 19:05:20,45.0917,133.5136,46.53,95,100,4.76
146,Khani,GE,2021-10-26 19:05:21,41.9563,42.9566,35.17,73,1,5.88
147,Maragogi,BR,2021-10-26 19:05:21,-9.0122,-35.2225,80.58,71,26,12.8
148,Dickinson,US,2021-10-26 19:05:21,29.4608,-95.0513,85.19,75,75,1.99
149,Touros,BR,2021-10-26 19:04:13,-5.1989,-35.4608,81.5,63,10,16.31
150,Leningradskiy,RU,2021-10-26 19:05:15,69.3833,178.4167,8.83,94,100,23.53
151,Kabare,CD,2021-10-26 19:05:22,-2.4683,28.8242,62.98,83,100,1.36
152,Lagoa,PT,2021-10-26 19:05:22,39.05,-27.9833,69.75,86,100,26.19
153,Moranbah,AU,2021-10-26 19:03:45,-22.0016,148.0466,68.99,88,5,5.3
154,Dagana,MR,2021-10-26 19:05:22,16.5165,-15.5068,98.02,16,98,5.79
155,Dasol,PH,2021-10-26 19:05:23,15.9902,119.8828,77.56,78,100,5.03
156,Nara,JP,2021-10-26 19:05:23,34.6851,135.8049,58.28,88,100,1.45
157,Benghazi,LY,2021-10-26 19:05:23,32.1167,20.0667,73.54,73,6,7.43
158,San Quintin,MX,2021-10-26 19:05:24,30.4833,-115.95,66.79,53,0,20.62
159,Lebu,CL,2021-10-26 19:05:24,-37.6167,-73.65,56.95,73,0,17.29
160,Ler,SS,2021-10-26 19:05:24,8.3018,30.1418,74.21,74,100,3.13
161,Castro,BR,2021-10-26 19:05:24,-24.7911,-50.0119,74.26,49,100,2.33
162,Harper,LR,2021-10-26 19:05:25,4.375,-7.7169,77.54,87,100,7.07
163,Tevaitoa,PF,2021-10-26 19:01:18,-16.7833,-151.5,77.85,77,28,7.74
164,Kedrovyy,RU,2021-10-26 19:01:08,56.1667,91.8167,52.21,49,100,14.65
165,Vila Velha,BR,2021-10-26 19:05:25,-20.3297,-40.2925,76.95,83,20,10.36
166,Zhezkazgan,KZ,2021-10-26 19:05:26,47.8043,67.7144,40.75,59,100,13.58
167,Karakol,KG,2021-10-26 19:05:26,42.4907,78.3936,38.23,51,99,4.9
168,Polson,US,2021-10-26 19:05:26,47.6936,-114.1632,50.14,60,95,14.0
169,Peleduy,RU,2021-10-26 19:05:26,59.6289,112.7406,17.96,98,97,3.69
170,Barcelos,PT,2021-10-26 19:05:27,41.5388,-8.6151,64.85,69,12,3.8
171,Avera,US,2021-10-26 19:02:59,33.194,-82.5271,73.27,40,0,9.75
172,Longyearbyen,SJ,2021-10-26 19:03:10,78.2186,15.6401,13.84,73,20,6.91
173,Luanda,AO,2021-10-26 19:01:01,-8.8368,13.2343,75.33,77,63,12.77
174,Insch,GB,2021-10-26 19:05:28,57.3427,-2.6132,59.68,88,100,13.91
175,Noumea,NC,2021-10-26 19:04:05,-22.2763,166.4572,73.99,99,100,6.93
176,Thinadhoo,MV,2021-10-26 19:05:28,0.5333,72.9333,83.46,72,100,17.52
177,Souillac,MU,2021-10-26 19:05:28,-20.5167,57.5167,74.35,75,8,13.87
178,Upernavik,GL,2021-10-26 19:05:29,72.7868,-56.1549,14.92,49,17,5.82
179,Likasi,CD,2021-10-26 19:05:29,-10.9814,26.7333,73.98,50,100,3.36
180,Mercedes,AR,2021-10-26 19:05:29,-34.6515,-59.4307,99.86,14,5,7.72
181,Nikolskoye,RU,2021-10-26 19:02:55,59.7035,30.7861,45.88,89,100,7.52
182,Esperance,AU,2021-10-26 19:02:26,-33.8667,121.9,49.95,90,6,13.31
183,Honiara,SB,2021-10-26 19:05:30,-9.4333,159.95,76.19,83,40,3.36
184,Sabla,NG,2021-10-26 19:05:30,12.7525,4.7077,88.74,22,18,7.34
185,Banda Aceh,ID,2021-10-26 19:04:47,5.5577,95.3222,78.84,82,99,8.28
186,Pyinmana,MM,2021-10-26 19:05:31,19.7333,96.2167,72.25,93,5,1.68
187,Astoria,US,2021-10-26 19:03:59,46.1879,-123.8313,55.15,94,90,1.99
188,Piastow,PL,2021-10-26 19:05:31,52.1843,20.8395,54.1,75,75,6.91
189,Miramar,US,2021-10-26 19:00:43,25.9873,-80.2323,92.01,69,20,1.99
190,Knysna,ZA,2021-10-26 19:05:31,-34.0363,23.0471,64.78,92,93,12.01
191,Mbini,GQ,2021-10-26 19:05:32,1.574,9.6134,76.87,88,90,3.51
192,Port Elizabeth,ZA,2021-10-26 19:05:32,-33.918,25.5701,68.09,82,90,16.11
193,Port Hedland,AU,2021-10-26 19:05:32,-20.3167,118.5667,71.65,83,0,10.36
194,Haines Junction,CA,2021-10-26 19:05:33,60.7522,-137.5108,30.18,78,100,2.33
195,West Wendover,US,2021-10-26 19:05:33,40.7391,-114.0733,51.01,50,75,19.57
196,Khvoynaya,RU,2021-10-26 19:05:33,58.9,34.5333,34.95,94,100,7.23
197,Myrhorod,UA,2021-10-26 19:05:34,49.9685,33.6089,38.25,55,21,8.16
198,Karratha,AU,2021-10-26 19:05:34,-20.7377,116.8463,73.58,28,0,11.5
199,Yeniseysk,RU,2021-10-26 19:05:34,58.4497,92.1703,46.27,65,100,12.37
200,Atibaia,BR,2021-10-26 19:05:35,-23.131,-46.589,86.58,67,77,6.33
201,Husavik,IS,2021-10-26 19:05:35,66.0449,-17.3389,40.06,90,100,13.58
202,Jingdezhen,CN,2021-10-26 19:05:35,29.2947,117.2079,61.0,79,99,2.44
203,Waipawa,NZ,2021-10-26 19:05:36,-41.4122,175.5153,56.03,77,100,10.87
204,Yakeshi,CN,2021-10-26 19:05:36,49.2833,120.7333,34.81,68,7,13.71
205,Dikson,RU,2021-10-26 19:05:36,73.5069,80.5464,13.48,85,100,10.67
206,Huron,US,2021-10-26 19:05:36,41.1501,-82.5499,50.97,75,28,19.73
207,Clyde River,CA,2021-10-26 19:05:37,70.4692,-68.5914,23.09,82,100,3.89
208,Madison,US,2021-10-26 19:04:18,34.7334,-86.5667,64.99,60,1,1.01
209,Sabzevar,IR,2021-10-26 19:05:37,36.2126,57.6819,56.95,27,100,10.69
210,Gorom-Gorom,BF,2021-10-26 19:05:37,14.4439,-0.2361,93.63,12,9,6.78
211,Tyup,KG,2021-10-26 19:05:38,42.7276,78.3648,40.6,52,100,3.31
212,Sambava,MG,2021-10-26 19:05:38,-14.2667,50.1667,73.72,81,4,13.24
213,Poum,NC,2021-10-26 19:05:38,-20.2333,164.0167,73.87,75,96,5.14
214,Burns Lake,CA,2021-10-26 19:05:39,54.2331,-125.7533,42.19,79,100,6.78
215,Yalta,UA,2021-10-26 19:05:39,44.5,34.1667,46.27,81,26,12.08
216,Price,US,2021-10-26 19:05:39,39.5994,-110.8107,47.46,39,20,19.57
217,Timra,SE,2021-10-26 19:05:40,62.487,17.3257,41.68,94,15,4.61
218,Fairbanks,US,2021-10-26 19:02:51,64.8378,-147.7164,30.16,93,90,0.0
219,Zhigalovo,RU,2021-10-26 19:05:40,54.8097,105.1578,33.13,92,67,3.27
220,Sao Miguel Do Araguaia,BR,2021-10-26 19:05:40,-13.275,-50.1628,89.44,49,71,8.41
221,Constitucion,CL,2021-10-26 19:05:41,-35.3333,-72.4167,64.63,65,29,17.85
222,Kununurra,AU,2021-10-26 19:05:41,-15.7667,128.7333,82.38,69,0,8.05
223,Butaritari,KI,2021-10-26 19:02:24,3.0707,172.7902,82.29,75,48,12.19
224,Yumen,CN,2021-10-26 19:05:42,40.2833,97.2,37.89,66,0,5.57
225,Saint George,US,2021-10-26 19:05:42,37.1041,-113.5841,61.63,37,1,8.01
226,Staraya Mayna,RU,2021-10-26 19:05:42,54.6,48.95,37.76,67,100,13.42
227,Kirakira,SB,2021-10-26 19:05:43,-10.4544,161.9205,78.98,85,19,4.63
228,Tuktoyaktuk,CA,2021-10-26 19:02:25,69.4541,-133.0374,28.94,94,100,5.35
229,Montrose,US,2021-10-26 19:05:43,38.4166,-108.2673,36.97,88,100,14.09
230,Dortmund,DE,2021-10-26 19:02:06,51.5167,7.45,55.65,73,40,1.99
231,Bengkulu,ID,2021-10-26 19:02:21,-3.8004,102.2655,75.94,89,100,5.44
232,Ostrovnoy,RU,2021-10-26 19:05:43,68.0531,39.5131,28.89,85,100,9.48
233,Magadi,IN,2021-10-26 19:04:54,12.9667,77.2333,70.14,83,100,4.92
234,Saint-Philippe,RE,2021-10-26 19:05:44,-21.3585,55.7679,71.19,79,38,11.7
235,Kruisfontein,ZA,2021-10-26 19:05:22,-34.0033,24.7314,65.88,81,100,20.8
236,Yar-Sale,RU,2021-10-26 19:05:44,66.8333,70.8333,15.37,93,46,6.42
237,Namibe,AO,2021-10-26 19:05:44,-15.1961,12.1522,65.8,77,42,12.01
238,Kavieng,PG,2021-10-26 19:05:45,-2.5744,150.7967,81.41,73,53,1.39
239,Rolla,US,2021-10-26 19:05:45,37.9514,-91.7713,65.05,48,1,1.01
240,Muyezerskiy,RU,2021-10-26 19:05:45,63.9333,31.65,41.11,98,100,11.01
241,Perm,RU,2021-10-26 19:05:46,58.0174,56.2855,31.46,93,75,13.42
242,Zhigansk,RU,2021-10-26 19:05:46,66.7697,123.3711,26.11,97,100,8.81
243,Ankazobe,MG,2021-10-26 19:05:46,-18.3167,47.1167,63.01,68,5,5.21
244,Chiredzi,ZW,2021-10-26 19:02:14,-21.05,31.6667,72.93,60,13,6.67
245,Anan,JP,2021-10-26 19:05:47,33.9167,134.65,61.45,74,100,5.5
246,Hambantota,LK,2021-10-26 19:05:47,6.1241,81.1185,73.74,100,90,1.14
247,Tallahassee,US,2021-10-26 19:05:12,30.4383,-84.2807,79.68,51,20,4.0
248,Laurel,US,2021-10-26 19:05:47,39.0993,-76.8483,64.18,66,90,7.0
249,Roald,NO,2021-10-26 19:05:48,62.5833,6.1333,50.92,76,40,6.91
250,Paita,PE,2021-10-26 19:05:48,-5.0892,-81.1144,75.76,69,100,16.13
251,Mao,ES,2021-10-26 19:05:48,39.8885,4.2658,59.56,82,20,8.05
252,Presidente Medici,BR,2021-10-26 19:05:48,-11.1753,-61.9014,79.52,72,100,3.38
253,Santa Luzia,BR,2021-10-26 19:05:49,-19.7697,-43.8514,74.3,74,75,8.01
254,Vardo,NO,2021-10-26 19:03:25,70.3705,31.1107,35.58,69,75,28.77
255,Tres Lagoas,BR,2021-10-26 19:05:49,-20.7511,-51.6783,83.75,58,86,5.19
256,Saint-Pierre,RE,2021-10-26 19:05:49,-21.3393,55.4781,71.28,68,0,3.44
257,Lata,PT,2021-10-26 19:05:50,40.1629,-8.3327,60.82,62,2,2.46
258,Bambous Virieux,MU,2021-10-26 19:05:50,-20.3428,57.7575,74.21,74,18,15.59
259,Boguchany,RU,2021-10-26 19:05:50,58.3814,97.4531,38.71,79,100,10.94
260,Chik,RU,2021-10-26 19:05:51,54.9928,82.4311,38.17,64,75,20.13
261,Omsukchan,RU,2021-10-26 19:05:51,62.5333,155.8,-3.12,97,24,2.64
262,Tacoronte,ES,2021-10-26 19:05:51,28.4769,-16.4102,67.26,66,75,11.01
263,Pocerski Pricinovic,RS,2021-10-26 19:05:52,44.7222,19.7072,47.93,75,10,4.34
264,Aiquile,BO,2021-10-26 19:05:52,-18.2041,-65.1807,75.02,21,0,17.54
265,Meulaboh,ID,2021-10-26 19:05:52,4.1363,96.1285,76.14,88,99,4.43
266,Barnstaple,GB,2021-10-26 19:05:53,51.0802,-4.0581,60.69,89,100,16.62
267,Sept-Iles,CA,2021-10-26 19:05:01,50.2001,-66.3821,50.05,69,12,4.0
268,Dimapur,IN,2021-10-26 19:05:53,25.9,93.7333,68.13,90,0,0.6
269,Berezniki,RU,2021-10-26 19:05:53,59.4152,56.8124,30.83,98,99,2.77
270,Severo-Kurilsk,RU,2021-10-26 19:05:54,50.6789,156.125,43.21,88,100,4.68
271,Bereda,ES,2021-10-26 19:05:54,43.2686,-7.5406,56.57,100,94,1.57
272,Kuressaare,EE,2021-10-26 19:05:54,58.2481,22.5039,48.94,97,90,5.99
